route_id,agency_id,route_short_name,LongName,route_desc,route_type,STATUS,DIVA-ROUTE,DIRECTION
APS_1b,Sydney Trains,T8,City Circle to Leppington via Airport,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_1e,Sydney Trains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_1f,Sydney Trains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_1a,Sydney Trains,T8,City Circle to Macarthur via Airport,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_1c,Sydney Trains,T8,City Circle to Macarthur via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_1d,Sydney Trains,T8,City Circle to Macarthur via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,OUT
APS_2b,Sydney Trains,T8,Leppington to City Circle via Airport,T8 Airport & South Line,2,INCLUDE,T8,IN
APS_2e,Sydney Trains,T8,Leppington to City Circle via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,IN
APS_2f,Sydney Trains,T8,Leppington to City Circle via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,IN
APS_2a,Sydney Trains,T8,Macarthur to City Circle via Airport,T8 Airport & South Line,2,INCLUDE,T8,IN
APS_2c,Sydney Trains,T8,Macarthur to City Circle via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,IN
APS_2d,Sydney Trains,T8,Macarthur to City Circle via Sydenham,T8 Airport & South Line,2,INCLUDE,T8,IN
BMT_2,NSWTrains,BMT,Bathurst and Lithgow to Sydney,Blue Mountains Line,2,INCLUDE,BMT,IN
BMT_1,NSWTrains,BMT,Central to Lithgow and Bathurst,Blue Mountains Line,2,INCLUDE,BMT,OUT
BNK_1a,Sydney Trains,T3,City Circle to Lidcombe via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_1b,Sydney Trains,T3,City Circle to Lidcombe via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_1d,Sydney Trains,T3,City Circle to Liverpool via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_1e,Sydney Trains,T3,City Circle to Liverpool via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_1f,Sydney Trains,T3,City Circle to Liverpool via Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_1g,Sydney Trains,T3,City Circle to Liverpool via Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_2a,Sydney Trains,T3,Lidcombe to City Circle via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_2b,Sydney Trains,T3,Lidcombe to City Circle via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_1h,Sydney Trains,T3,Lidcombe to Liverpool,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_2c,Sydney Trains,T3,Lidcombe to Regents Park,T3 Bankstown Line,2,INCLUDE,T3,OUT
BNK_2d,Sydney Trains,T3,Liverpool to City Circle via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_2e,Sydney Trains,T3,Liverpool to City Circle via Bankstown,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_2f,Sydney Trains,T3,Liverpool to City Circle via Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_2g,Sydney Trains,T3,Liverpool to City Circle via Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_2h,Sydney Trains,T3,Liverpool to Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,IN
BNK_1c,Sydney Trains,T3,Regents Park to Lidcombe,T3 Bankstown Line,2,INCLUDE,T3,IN
CCN_1b,NSWTrains,CCN,Central to Newcastle Interchange via North Shore,Central Coast & Newcastle Line,2,INCLUDE,CCN,OUT
CCN_1c,NSWTrains,CCN,Central to Newcastle Interchange via Starthfield,Central Coast & Newcastle Line,2,INCLUDE,CCN,OUT
CCN_1a,NSWTrains,CCN,Central to Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,2,INCLUDE,CCN,OUT
CCN_2b,NSWTrains,CCN,Newcastle Interchange to Central via North Shore,Central Coast & Newcastle Line,2,INCLUDE,CCN,IN
CCN_2a,NSWTrains,CCN,Newcastle Interchange to Central via Strathfield,Central Coast & Newcastle Line,2,INCLUDE,CCN,IN
CGF_2,Sydney Trains,T6,Carlingford to Clyde,T6 Carlingford Line,2,INCLUDE,T6,IN
CGF_1,Sydney Trains,T6,Clyde to Carlingford,T6 Carlingford Line,2,INCLUDE,T6,OUT
CMB_2d,Sydney Trains,T5,Campbelltown to Emu Plains,T5 Cumberland Line,2,INCLUDE,T5,OUT
CMB_2c,Sydney Trains,T5,Campbelltown to Richmond,T5 Cumberland Line,2,INCLUDE,T5,IN
CMB_1d,Sydney Trains,T5,Emu Plains to Campbelltown,T5 Cumberland Line,2,INCLUDE,T5,IN
CMB_1b,Sydney Trains,T5,Emu Plains to Leppington,T5 Cumberland Line,2,INCLUDE,T5,IN
CMB_2b,Sydney Trains,T5,Leppington to Emu Plains,T5 Cumberland Line,2,INCLUDE,T5,OUT
CMB_2a,Sydney Trains,T5,Leppington to Richmond,T5 Cumberland Line,2,INCLUDE,T5,OUT
